date,ticker,stock_name,comment,like,dislike
2024-04-01,005930.KS,삼성전자,메모리 업황이 살아나는 것 같아서 이번 분기 실적 기대됩니다 수급도 같이 봐야겠네요 내일 장이 중요합니다,18,2
2024-04-02,005930.KS,삼성전자,외국인 매도가 계속 나와서 주가가 답답하네요,10,10
2024-04-03,005930.KS,삼성전자,배당도 있고 장기 보유 관점에서는 아직 괜찮아 보입니다,17,1
2024-04-04,005930.KS,삼성전자,반도체 사이클 회복 뉴스가 많아서 조금 더 지켜보려고 합니다,16,4
2024-04-05,005930.KS,삼성전자,오늘 또 밀리네요 손절해야 하나 고민됩니다,7,13
2024-04-08,005930.KS,삼성전자,AI 서버 수요가 계속 늘면 결국 실적에 반영될 것 같습니다 수급도 같이 봐야겠네요,23,3
2024-04-09,005930.KS,삼성전자,박스권이 너무 길어서 단기 매매는 어렵네요,10,8
2024-04-10,005930.KS,삼성전자,거래량이 붙으면 전고점 돌파도 가능해 보입니다 내일 장이 중요합니다,15,5
2024-04-11,005930.KS,삼성전자,메모리 업황이 살아나는 것 같아서 이번 분기 실적 기대됩니다,18,0
2024-04-12,005930.KS,삼성전자,외국인 매도가 계속 나와서 주가가 답답하네요,10,11
2024-04-15,005930.KS,삼성전자,배당도 있고 장기 보유 관점에서는 아직 괜찮아 보입니다 수급도 같이 봐야겠네요,17,2
2024-04-16,005930.KS,삼성전자,반도체 사이클 회복 뉴스가 많아서 조금 더 지켜보려고 합니다,16,2
2024-04-17,005930.KS,삼성전자,오늘 또 밀리네요 손절해야 하나 고민됩니다,7,14
2024-04-18,005930.KS,삼성전자,AI 서버 수요가 계속 늘면 결국 실적에 반영될 것 같습니다,23,4
2024-04-19,005930.KS,삼성전자,박스권이 너무 길어서 단기 매매는 어렵네요 내일 장이 중요합니다,10,6
2024-04-22,005930.KS,삼성전자,거래량이 붙으면 전고점 돌파도 가능해 보입니다 수급도 같이 봐야겠네요,15,6
2024-04-23,005930.KS,삼성전자,메모리 업황이 살아나는 것 같아서 이번 분기 실적 기대됩니다,18,1
2024-04-24,005930.KS,삼성전자,외국인 매도가 계속 나와서 주가가 답답하네요,10,9
2024-04-25,005930.KS,삼성전자,배당도 있고 장기 보유 관점에서는 아직 괜찮아 보입니다,17,3
2024-04-26,005930.KS,삼성전자,반도체 사이클 회복 뉴스가 많아서 조금 더 지켜보려고 합니다,16,3
2024-04-29,005930.KS,삼성전자,오늘 또 밀리네요 손절해야 하나 고민됩니다 수급도 같이 봐야겠네요,7,12
2024-04-30,005930.KS,삼성전자,AI 서버 수요가 계속 늘면 결국 실적에 반영될 것 같습니다 내일 장이 중요합니다,23,5
2024-05-01,005930.KS,삼성전자,박스권이 너무 길어서 단기 매매는 어렵네요,10,7
2024-05-02,005930.KS,삼성전자,거래량이 붙으면 전고점 돌파도 가능해 보입니다,15,4
2024-05-03,005930.KS,삼성전자,메모리 업황이 살아나는 것 같아서 이번 분기 실적 기대됩니다,18,2
2024-05-06,005930.KS,삼성전자,외국인 매도가 계속 나와서 주가가 답답하네요 수급도 같이 봐야겠네요,10,10
2024-05-07,005930.KS,삼성전자,배당도 있고 장기 보유 관점에서는 아직 괜찮아 보입니다,17,1
2024-05-08,005930.KS,삼성전자,반도체 사이클 회복 뉴스가 많아서 조금 더 지켜보려고 합니다,16,4
2024-05-09,005930.KS,삼성전자,오늘 또 밀리네요 손절해야 하나 고민됩니다 내일 장이 중요합니다,7,13
2024-05-10,005930.KS,삼성전자,AI 서버 수요가 계속 늘면 결국 실적에 반영될 것 같습니다,23,3
2024-04-04,035420.KS,NAVER,광고 매출이 회복되면 주가도 다시 탄력 받을 것 같습니다 수급도 같이 봐야겠네요 내일 장이 중요합니다,17,4
2024-04-05,035420.KS,NAVER,플랫폼 경쟁이 심해서 성장성이 예전 같지 않아 보입니다,9,11
2024-04-08,035420.KS,NAVER,클라우드와 AI 사업은 중장기 기대감이 있습니다,16,3
2024-04-09,035420.KS,NAVER,실적 발표 전까지는 변동성이 클 것 같네요,12,7
2024-04-10,035420.KS,NAVER,검색 점유율 걱정 때문에 쉽게 들어가기 어렵습니다,6,12
2024-04-11,035420.KS,NAVER,웹툰 글로벌 확장 기대합니다 수급도 같이 봐야겠네요,17,1
2024-04-12,035420.KS,NAVER,저평가 구간이라고 생각해서 분할 매수 중입니다,20,5
2024-04-15,035420.KS,NAVER,오늘 반등은 좋은데 거래량이 약해서 아쉽습니다 내일 장이 중요합니다,13,7
2024-04-16,035420.KS,NAVER,광고 매출이 회복되면 주가도 다시 탄력 받을 것 같습니다,17,2
2024-04-17,035420.KS,NAVER,플랫폼 경쟁이 심해서 성장성이 예전 같지 않아 보입니다,9,12
2024-04-18,035420.KS,NAVER,클라우드와 AI 사업은 중장기 기대감이 있습니다 수급도 같이 봐야겠네요,16,4
2024-04-19,035420.KS,NAVER,실적 발표 전까지는 변동성이 클 것 같네요,12,5
2024-04-22,035420.KS,NAVER,검색 점유율 걱정 때문에 쉽게 들어가기 어렵습니다,6,13
2024-04-23,035420.KS,NAVER,웹툰 글로벌 확장 기대합니다,17,2
2024-04-24,035420.KS,NAVER,저평가 구간이라고 생각해서 분할 매수 중입니다 내일 장이 중요합니다,20,3
2024-04-25,035420.KS,NAVER,오늘 반등은 좋은데 거래량이 약해서 아쉽습니다 수급도 같이 봐야겠네요,13,8
2024-04-26,035420.KS,NAVER,광고 매출이 회복되면 주가도 다시 탄력 받을 것 같습니다,17,3
2024-04-29,035420.KS,NAVER,플랫폼 경쟁이 심해서 성장성이 예전 같지 않아 보입니다,9,10
2024-04-30,035420.KS,NAVER,클라우드와 AI 사업은 중장기 기대감이 있습니다,16,5
2024-05-01,035420.KS,NAVER,실적 발표 전까지는 변동성이 클 것 같네요,12,6
